batter_id,batter_trackman_id,n,share
22660,62415,12307,0.9983775452259268
23420,76290,11840,0.9989032312494727
22816,66108,11837,0.9981448688759592
21696,75847,11323,0.998412838374041
22066,77532,11286,0.9977015558698727
23281,67304,11194,0.9982165150704476
22013,78224,11178,0.9983922829581994
22103,79109,11135,0.9976704596362334
23471,76313,10902,0.996799853707598
21992,78513,10840,0.9983422361392522
22130,79231,10650,0.9988745075970737
22410,62404,10549,0.9976357102326461
21821,76267,10094,0.9967413844178927
23476,68050,10083,0.9967378410438908
21818,76232,10071,0.9980180358735506
22102,79192,10006,0.9975077260492473
23578,68743,9965,0.9985970538130073
22127,79215,9963,0.9984966927239928
23443,75125,9914,0.9978862606945144
22443,62895,9654,0.997829457364341
22606,62907,9554,0.9978067885117493
22133,79402,9488,0.9975817474503207
22779,64166,9425,0.9976712183762041
22126,79240,9407,0.9980901856763926
23693,69737,9355,0.9974410918008316
21990,78548,9341,0.9971178479931683
23282,67341,9278,0.9981710597095212
21660,75334,9277,0.997741449774145
22109,79608,9103,0.997479728248959
23901,50854,9051,0.9981252756947507
22455,78288,8760,0.9974948758824869
22632,63963,8670,0.9975837072833966
22146,79365,8528,0.9982441765187873
21627,74540,8353,0.9982074569789675
22283,61102,8053,0.9972755417956657
22693,64153,7975,0.9963768115942029
22500,78168,7938,0.9987418218419728
22605,62931,7874,0.9984783160030434
22269,60523,7858,0.9978412698412699
23687,628336,7849,0.9977119613575696
23319,67893,7764,0.9973025048169557
23113,64868,7626,0.9990829293855626
23639,69102,7592,0.9986845566956064
22725,64006,7535,0.9972207517204871
21737,75566,7434,0.9966483442820754
22727,64004,7370,0.9983744242752641
22736,65357,7206,0.9968183704523447
23465,68525,7057,0.9984436898698359
22430,62244,6892,0.9984064899319136
22610,62947,6707,0.9994039636417822
21520,74163,6698,0.9976169198689306
23413,592692,6648,0.9989481592787378
24144,425783,6533,0.9984716490906312
21616,74206,6407,0.9990644004366132
23875,50458,6390,0.99906191369606
21968,77564,6194,0.9974235104669887
21834,76802,6184,0.9980632666236281
22468,63123,6127,0.997720241003094
21996,78135,6124,0.9980443285528031
23646,64646,6058,0.999340151765094
21286,72443,6048,0.9986789960369881
21398,73113,5927,0.9983156476334849
23410,457449,5836,0.9979480164158687
22182,79456,5833,0.9962425277540564
22315,61404,5807,0.9989678307242388
24074,517369,5712,0.9987760097919217
22245,60558,5681,0.9973665730337079
24087,51344,5571,0.9985660512636674
21837,76849,5509,0.9985499365597245
24075,51907,5331,0.9985015920584379
22026,78603,5244,0.9982866933181039
23348,493193,5133,0.7477057538237436
21170,71837,5026,0.9972222222222222
23433,68119,5018,0.9990045789368903
23134,66704,5001,0.99780526735834
22429,62234,4990,0.998
23040,64984,4980,0.9977960328591464
22768,63704,4972,0.9985940951998393
22379,62700,4958,0.9947833065810594
23318,62802,4813,0.9950382468472193
22739,64504,4752,0.9968533668974198
23045,74465,4734,0.9970513900589723
21831,76812,4731,0.9989442567567568
22287,61186,4684,0.9974446337308348
22831,65207,4625,0.9959086993970715
23080,74339,4624,0.9984884474195638
23720,69453,4537,0.9980202375714914
22106,79150,4472,0.9966570091375083
24272,52415,4344,0.9988503104161877
22607,62925,4319,0.9972292773031632
22038,78756,4294,0.999534450651769
23778,69995,4245,0.9997644842204427
22956,66606,4145,0.9987951807228915
22612,62934,4096,0.9987807851743478
22323,61353,4079,0.9975544142822206
22756,64468,4046,0.997534516765286
23427,68106,4046,0.9970428782651553
24354,621573,4041,0.9980242035070388
22732,64007,4002,0.9965139442231076
23685,69517,3988,0.998997995991984
23089,66838,3955,0.9979813272773151
22671,64300,3947,0.9984821654439666
23464,65586,3916,0.9969450101832994
23854,50167,3909,0.9987225344915688
23961,571437,3864,0.9974186886938565
22424,62558,3835,0.9989580619953112
23197,66928,3820,0.9979101358411703
24212,52591,3815,0.9989526053940823
22963,66715,3734,0.9973290598290598
22522,63257,3664,0.9978213507625272
22420,62556,3663,0.9991816693944353
24439,628338,3574,0.997488138431482
22436,62864,3570,0.9988808058198098
23882,553988,3565,0.997481813094572
23583,66706,3534,0.9966159052453468
22690,64560,3467,0.99712395743457
24072,51417,3464,0.9982708933717579
21999,78122,3317,1.0
22808,64101,3273,0.9972577696526508
22950,66657,3251,0.9996924969249692
23896,50500,3195,0.9993744135126681
23855,50150,3131,0.9990427568602425
24301,546990,3062,0.9996735226901731
22853,65898,3060,0.9977176393870232
22985,65703,3056,0.9983665468801045
23840,69652,3007,0.9996675531914894
22839,66209,2998,0.9953519256308101
23430,68110,2986,0.9959973315543695
23022,66409,2983,0.9976588628762542
22819,66162,2968,0.9946380697050938
22674,63920,2950,0.9976327358809605
24270,593647,2919,0.9982900136798906
22664,64610,2918,0.9965846994535519
21400,73136,2900,0.9979353062629044
21708,75151,2784,0.9989235737351991
23195,66965,2658,0.9977477477477478
22719,64346,2637,0.9977298524404086
23948,50202,2630,0.9984813971146546
23602,68912,2613,0.9992351816443594
23939,50707,2591,0.9976896418944936
21143,71752,2562,0.9996098322278579
24356,53764,2534,0.9988175009854159
23349,67504,2520,0.9968354430379747
23645,69100,2482,0.998390989541432
22811,66113,2481,0.9971864951768489
22523,63260,2481,0.9983903420523139
21822,76249,2461,0.9959530554431404
23243,67207,2458,0.997564935064935
23865,657733,2406,0.9966859983429992
22442,62884,2369,0.9987352445193929
23508,64657,2329,0.9978577549271637
24040,51551,2324,0.9987107864202837
23759,69813,2301,0.9978317432784042
21851,76753,2287,0.998254037538193
23664,65610,2283,0.9982509838216004
24264,52605,2274,0.9986824769433466
23641,69105,2268,0.9899607158446093
24466,669008,2246,0.9995549621717846
22695,65132,2239,0.9995535714285714
24526,622682,2176,0.9967934035730646
23859,50108,2175,0.9990813045475425
23244,64266,2166,0.9981566820276497
24251,643565,2152,1.0
24273,52430,2123,0.9976503759398496
23463,68518,2122,0.996244131455399
23606,68904,2090,0.9971374045801527
22771,64115,2077,0.9990379990379991
23404,573131,2063,0.9990314769975787
23188,64022,2051,0.9965986394557823
21945,77243,2042,0.994157740993184
22697,65115,2037,0.9970631424375918
22345,61208,2018,0.999009900990099
24510,571602,1995,0.9970014992503748
22542,63722,1991,0.9989964877069744
23625,543742,1991,0.9994979919678715
22626,60566,1982,1.0
23688,63700,1975,0.9984833164812943
24207,605361,1972,0.9979757085020243
22882,64340,1955,0.9979581419091373
24326,641829,1938,0.9989690721649485
22521,63202,1935,0.9969088098918083
22709,64717,1920,1.0
22809,66112,1919,0.9917312661498708
23911,50820,1900,0.9984235417761429
22807,65157,1885,0.9931506849315068
24098,51203,1870,0.9989316239316239
22288,61197,1816,0.9978021978021978
24545,666632,1807,0.996141124586549
23584,68700,1800,0.9928295642581357
22775,65399,1799,0.9955727725511898
24194,624577,1783,0.9988795518207283
23776,69992,1779,0.999438202247191
24010,51100,1769,0.9983069977426636
23940,50709,1763,0.9983012457531144
24372,53554,1742,0.9971379507727532
23452,68305,1736,0.9965556831228473
24342,53144,1728,0.9988439306358381
23466,68504,1722,0.9930795847750865
24309,676646,1721,1.0
22502,78361,1709,0.9924506387921022
23425,68100,1701,0.9935747663551402
22628,63905,1696,0.9988221436984688
21947,77248,1670,0.9970149253731343
22006,78813,1646,0.9969715324046032
23408,62025,1642,0.9975698663426489
23549,68868,1640,0.9975669099756691
23525,64407,1632,0.9957291031116534
23321,61869,1631,0.9975535168195718
24007,608365,1620,0.995085995085995
23938,50704,1618,0.9993823347745522
23442,68346,1613,0.9981435643564357
22021,78629,1610,1.0
24341,670351,1600,1.0
23274,67905,1591,0.9981179422835633
23193,66917,1572,1.0
22396,62332,1535,0.9980494148244473
22969,66707,1534,0.9973992197659298
23698,69766,1522,1.0
23582,68730,1521,0.512466307277628
22144,79334,1506,0.9980119284294234
21693,75808,1482,0.9986522911051213
21241,72133,1479,0.9993243243243243
24050,51868,1475,0.9946055293324343
23444,68362,1468,0.9972826086956522
21600,74729,1444,1.0
24263,592656,1427,0.9986004198740378
22432,62265,1415,1.0
22332,61700,1405,1.0
23298,67644,1399,0.9992857142857143
23949,50293,1381,0.9956741167988464
22682,61554,1371,0.9934782608695653
23691,69727,1361,0.9992657856093979
23367,67449,1348,0.9970414201183432
23626,63440,1332,0.9970059880239521
23552,68205,1331,0.9962574850299402
24548,54795,1329,0.9984973703981969
23990,50054,1313,0.996962794229309
23669,65515,1298,0.9992301770592764
23735,69238,1289,0.9961360123647605
23757,69306,1289,0.9938319198149576
24180,52348,1279,0.9968823070927514
23978,50357,1258,0.9960411718131433
23143,66864,1256,0.9936708860759493
21448,73209,1243,0.9967923015236567
22394,62356,1230,0.9991876523151909
21980,77463,1204,0.9975144987572494
23724,69418,1203,0.9966859983429992
21461,73306,1159,0.9982773471145564
22781,65506,1121,0.9929140832595217
22576,63450,1107,1.0
24542,676950,1104,1.0
23681,69508,1098,0.9981818181818182
22333,61743,1091,0.9990842490842491
24398,53312,1090,0.999083409715857
22872,65362,1084,1.0
24245,666247,1073,0.9990689013035382
23526,68463,1069,0.9916512059369202
24005,488681,1059,0.9971751412429378
22696,65136,1057,1.0
23001,65462,1057,1.0
22749,65653,1054,1.0
24221,656847,1048,0.9943074003795066
23418,65109,1047,1.0
24041,51528,1046,1.0
21892,76100,1043,1.0
24569,54344,1042,0.9980842911877394
23436,68330,1039,0.9971209213051824
24016,51106,1023,0.9912790697674418
22728,64012,1020,0.9970674486803519
23405,66406,1011,0.9970414201183432
23179,65269,1009,0.999009900990099
23034,64906,992,0.992
24500,54812,991,1.0
23407,67005,989,0.9979818365287588
23705,69705,988,0.992964824120603
22016,78217,978,0.9928934010152284
23234,67123,977,0.996938775510204
22716,64944,930,0.9841269841269841
23760,69825,915,0.9956474428726877
23108,65869,915,0.9989082969432315
22928,66614,896,1.0
24462,608384,895,0.9977703455964325
24496,54805,893,0.9977653631284916
22353,61566,890,0.9977578475336323
23227,67169,883,0.9910213243546577
24162,52124,882,0.9932432432432432
22748,64086,874,1.0
23718,69442,868,0.9931350114416476
22208,60343,861,1.0
23841,607111,860,1.0
21617,74215,859,1.0
24023,501660,857,0.994199535962877
24400,53344,853,1.0
24139,592387,850,0.9929906542056075
24490,54108,836,0.9964243146603099
24150,541650,835,0.9964200477326969
24177,605196,833,0.9834710743801653
23396,67006,830,0.9952038369304557
24054,51865,829,1.0
23734,68204,822,0.9975728155339806
22025,78643,795,0.9962406015037594
23472,64014,794,1.0
23670,64501,794,0.9912609238451935
23768,69950,792,0.9962264150943396
23715,69428,781,0.9961734693877551
23750,69332,776,0.9910600255427842
23505,68646,774,0.9948586118251928
24191,52305,772,0.9987063389391979
24008,594953,769,1.0
23529,64469,764,0.9986928104575163
24149,643269,763,0.9986910994764397
23186,66233,750,0.9946949602122016
23706,69706,746,0.9946666666666667
24479,54166,744,0.9986577181208054
23330,67807,743,0.9946452476572959
22817,64100,739,0.9959568733153639
